complaints,category
"There is a sewage leak this is a major safety risk. Specifically, the sewage leak near the main square is getting worse. Life-threatening attention is needed.",Sanitation
"I want to report pipe burst the whole neighborhood is complaining. Specifically, the pipe burst near the main square is getting worse. Urgent attention is needed.",Water
"Urgent notice regarding mosquito breeding this is a major safety risk. Specifically, the mosquito breeding near the main square is getting worse. Immediate attention is needed.",Health
"Urgent notice regarding pothole which is causing a lot of trouble. Specifically, the pothole near the main square is getting worse. Immediate attention is needed.",Roads
"I want to report stagnant water which is causing a lot of trouble. Specifically, the stagnant water near the main square is getting worse. Danger attention is needed.",Health
"Continuous issue with downed line the whole neighborhood is complaining. Specifically, the downed line near the main square is getting worse. Hazard attention is needed.",Electricity
"Urgent notice regarding dim lights and it has been like this for days. Specifically, the dim lights near the main square is getting worse. Urgent attention is needed.",Electricity
"I want to report power cut which is causing a lot of trouble. Specifically, the power cut near the main square is getting worse. Danger attention is needed.",Electricity
"Urgent notice regarding cracked pavement which is causing a lot of trouble. Specifically, the cracked pavement near the main square is getting worse. Immediate attention is needed.",Roads
"Urgent notice regarding pipe burst the whole neighborhood is complaining. Specifically, the pipe burst near the main square is getting worse. Urgent attention is needed.",Water
"Continuous issue with low pressure and it has been like this for days. Specifically, the low pressure near the main square is getting worse. Leak attention is needed.",Water
"Urgent notice regarding overflowing bin which is causing a lot of trouble. Specifically, the overflowing bin near the main square is getting worse. Urgent attention is needed.",Sanitation
"Continuous issue with flooded road and it has been like this for days. Specifically, the flooded road near the main square is getting worse. Life-threatening attention is needed.",Roads
"There is a sewage leak which is causing a lot of trouble. Specifically, the sewage leak near the main square is getting worse. Fire attention is needed.",Sanitation
"Continuous issue with leak this is a major safety risk. Specifically, the leak near the main square is getting worse. Emergency attention is needed.",Water
"Continuous issue with low pressure which is causing a lot of trouble. Specifically, the low pressure near the main square is getting worse. Life-threatening attention is needed.",Water
"Continuous issue with contaminated the whole neighborhood is complaining. Specifically, the contaminated near the main square is getting worse. Danger attention is needed.",Water
"Urgent notice regarding dim lights this is a major safety risk. Specifically, the dim lights near the main square is getting worse. Hazard attention is needed.",Electricity
"Urgent notice regarding mosquito breeding and it has been like this for days. Specifically, the mosquito breeding near the main square is getting worse. Danger attention is needed.",Health
"Continuous issue with power cut which is causing a lot of trouble. Specifically, the power cut near the main square is getting worse. Life-threatening attention is needed.",Electricity
"I want to report power cut and it has been like this for days. Specifically, the power cut near the main square is getting worse. Immediate attention is needed.",Electricity
"Continuous issue with street light out the whole neighborhood is complaining. Specifically, the street light out near the main square is getting worse. Emergency attention is needed.",Roads
"There is a mosquito breeding and it has been like this for days. Specifically, the mosquito breeding near the main square is getting worse. Leak attention is needed.",Health
"There is a sparking wire the whole neighborhood is complaining. Specifically, the sparking wire near the main square is getting worse. Danger attention is needed.",Electricity
"Continuous issue with no supply which is causing a lot of trouble. Specifically, the no supply near the main square is getting worse. Emergency attention is needed.",Water
"Please fix the sewage leak which is causing a lot of trouble. Specifically, the sewage leak near the main square is getting worse. Emergency attention is needed.",Sanitation
"Urgent notice regarding pipe burst and it has been like this for days. Specifically, the pipe burst near the main square is getting worse. Emergency attention is needed.",Water
"Continuous issue with sewage leak this is a major safety risk. Specifically, the sewage leak near the main square is getting worse. Danger attention is needed.",Sanitation
"Please fix the sewage leak this is a major safety risk. Specifically, the sewage leak near the main square is getting worse. Life-threatening attention is needed.",Sanitation
"Continuous issue with garbage pile and it has been like this for days. Specifically, the garbage pile near the main square is getting worse. Emergency attention is needed.",Sanitation
"I want to report contaminated the whole neighborhood is complaining. Specifically, the contaminated near the main square is getting worse. Fire attention is needed.",Water
"I want to report dim lights this is a major safety risk. Specifically, the dim lights near the main square is getting worse. Immediate attention is needed.",Electricity
"There is a no supply this is a major safety risk. Specifically, the no supply near the main square is getting worse. Danger attention is needed.",Water
"Please fix the overflowing bin which is causing a lot of trouble. Specifically, the overflowing bin near the main square is getting worse. Life-threatening attention is needed.",Sanitation
"Urgent notice regarding transformer failure which is causing a lot of trouble. Specifically, the transformer failure near the main square is getting worse. Hazard attention is needed.",Electricity
"I want to report sewage leak and it has been like this for days. Specifically, the sewage leak near the main square is getting worse. Life-threatening attention is needed.",Sanitation
"Please fix the pothole the whole neighborhood is complaining. Specifically, the pothole near the main square is getting worse. Fire attention is needed.",Roads
"Continuous issue with downed line and it has been like this for days. Specifically, the downed line near the main square is getting worse. Life-threatening attention is needed.",Electricity
"I want to report stagnant water and it has been like this for days. Specifically, the stagnant water near the main square is getting worse. Leak attention is needed.",Health
"Urgent notice regarding power cut the whole neighborhood is complaining. Specifically, the power cut near the main square is getting worse. Danger attention is needed.",Electricity
"Please fix the leak and it has been like this for days. Specifically, the leak near the main square is getting worse. Life-threatening attention is needed.",Water
"Continuous issue with sparking wire the whole neighborhood is complaining. Specifically, the sparking wire near the main square is getting worse. Hazard attention is needed.",Electricity
"There is a dim lights and it has been like this for days. Specifically, the dim lights near the main square is getting worse. Leak attention is needed.",Electricity
"There is a traffic signal broken the whole neighborhood is complaining. Specifically, the traffic signal broken near the main square is getting worse. Danger attention is needed.",Roads
"Continuous issue with dim lights the whole neighborhood is complaining. Specifically, the dim lights near the main square is getting worse. Life-threatening attention is needed.",Electricity
"I want to report overflowing bin which is causing a lot of trouble. Specifically, the overflowing bin near the main square is getting worse. Fire attention is needed.",Sanitation
"I want to report flooded road which is causing a lot of trouble. Specifically, the flooded road near the main square is getting worse. Life-threatening attention is needed.",Roads
"I want to report garbage pile the whole neighborhood is complaining. Specifically, the garbage pile near the main square is getting worse. Life-threatening attention is needed.",Sanitation
"Please fix the clinic closed the whole neighborhood is complaining. Specifically, the clinic closed near the main square is getting worse. Immediate attention is needed.",Health
"Please fix the mosquito breeding which is causing a lot of trouble. Specifically, the mosquito breeding near the main square is getting worse. Fire attention is needed.",Health
"Please fix the pothole and it has been like this for days. Specifically, the pothole near the main square is getting worse. Immediate attention is needed.",Roads
"Please fix the power cut the whole neighborhood is complaining. Specifically, the power cut near the main square is getting worse. Immediate attention is needed.",Electricity
"There is a leak and it has been like this for days. Specifically, the leak near the main square is getting worse. Emergency attention is needed.",Water
"I want to report pipe burst and it has been like this for days. Specifically, the pipe burst near the main square is getting worse. Life-threatening attention is needed.",Water
"There is a garbage pile the whole neighborhood is complaining. Specifically, the garbage pile near the main square is getting worse. Immediate attention is needed.",Sanitation
"I want to report stagnant water the whole neighborhood is complaining. Specifically, the stagnant water near the main square is getting worse. Hazard attention is needed.",Health
"Continuous issue with sewage leak and it has been like this for days. Specifically, the sewage leak near the main square is getting worse. Immediate attention is needed.",Sanitation
"Please fix the outbreak risk which is causing a lot of trouble. Specifically, the outbreak risk near the main square is getting worse. Urgent attention is needed.",Health
"I want to report bad smell the whole neighborhood is complaining. Specifically, the bad smell near the main square is getting worse. Life-threatening attention is needed.",Sanitation
"Please fix the street light out this is a major safety risk. Specifically, the street light out near the main square is getting worse. Immediate attention is needed.",Roads
"Urgent notice regarding stagnant water the whole neighborhood is complaining. Specifically, the stagnant water near the main square is getting worse. Hazard attention is needed.",Health
"Continuous issue with sewage leak and it has been like this for days. Specifically, the sewage leak near the main square is getting worse. Danger attention is needed.",Sanitation
"There is a stray dog menace and it has been like this for days. Specifically, the stray dog menace near the main square is getting worse. Immediate attention is needed.",Health
"Urgent notice regarding no supply which is causing a lot of trouble. Specifically, the no supply near the main square is getting worse. Leak attention is needed.",Water
"Continuous issue with low pressure and it has been like this for days. Specifically, the low pressure near the main square is getting worse. Fire attention is needed.",Water
Continuous issue with low pressure,Water
"I want to report downed line the whole neighborhood is complaining. Specifically, the downed line near the main square is getting worse. Fire attention is needed.",Electricity
"Continuous issue with no supply the whole neighborhood is complaining. Specifically, the no supply near the main square is getting worse. Leak attention is needed.",Water
"Please fix the cracked pavement the whole neighborhood is complaining. Specifically, the cracked pavement near the main square is getting worse. Fire attention is needed.",Roads
"There is a dirty water this is a major safety risk. Specifically, the dirty water near the main square is getting worse. Leak attention is needed.",Water
"Urgent notice regarding sewage leak this is a major safety risk. Specifically, the sewage leak near the main square is getting worse. Immediate attention is needed.",Sanitation
"Please fix the uncollected waste the whole neighborhood is complaining. Specifically, the uncollected waste near the main square is getting worse. Fire attention is needed.",Sanitation
"Please fix the outbreak risk the whole neighborhood is complaining. Specifically, the outbreak risk near the main square is getting worse. Fire attention is needed.",Health
"Continuous issue with sewage leak this is a major safety risk. Specifically, the sewage leak near the main square is getting worse. Immediate attention is needed.",Sanitation
"I want to report cracked pavement the whole neighborhood is complaining. Specifically, the cracked pavement near the main square is getting worse. Danger attention is needed.",Roads
"Urgent notice regarding stray dog menace and it has been like this for days. Specifically, the stray dog menace near the main square is getting worse. Urgent attention is needed.",Health
"Continuous issue with street light out which is causing a lot of trouble. Specifically, the street light out near the main square is getting worse. Leak attention is needed.",Roads
"I want to report sparking wire which is causing a lot of trouble. Specifically, the sparking wire near the main square is getting worse. Emergency attention is needed.",Electricity
"Continuous issue with overflowing bin this is a major safety risk. Specifically, the overflowing bin near the main square is getting worse. Urgent attention is needed.",Sanitation
"I want to report downed line which is causing a lot of trouble. Specifically, the downed line near the main square is getting worse. Urgent attention is needed.",Electricity
"Please fix the outbreak risk which is causing a lot of trouble. Specifically, the outbreak risk near the main square is getting worse. Emergency attention is needed.",Health
"There is a street light out and it has been like this for days. Specifically, the street light out near the main square is getting worse. Leak attention is needed.",Roads
"Urgent notice regarding dim lights the whole neighborhood is complaining. Specifically, the dim lights near the main square is getting worse. Danger attention is needed.",Electricity
"Continuous issue with street light out and it has been like this for days. Specifically, the street light out near the main square is getting worse. Emergency attention is needed.",Roads
"There is a leak the whole neighborhood is complaining. Specifically, the leak near the main square is getting worse. Fire attention is needed.",Water
"There is a clinic closed this is a major safety risk. Specifically, the clinic closed near the main square is getting worse. Urgent attention is needed.",Health
"Continuous issue with low pressure and it has been like this for days. Specifically, the low pressure near the main square is getting worse. Urgent attention is needed.",Water
"I want to report sparking wire this is a major safety risk. Specifically, the sparking wire near the main square is getting worse. Hazard attention is needed.",Electricity
Please fix the uncollected waste,Sanitation
"Please fix the low pressure which is causing a lot of trouble. Specifically, the low pressure near the main square is getting worse. Emergency attention is needed.",Water
"Please fix the bad smell the whole neighborhood is complaining. Specifically, the bad smell near the main square is getting worse. Leak attention is needed.",Sanitation
"There is a mosquito breeding the whole neighborhood is complaining. Specifically, the mosquito breeding near the main square is getting worse. Danger attention is needed.",Health
"There is a overflowing bin which is causing a lot of trouble. Specifically, the overflowing bin near the main square is getting worse. Immediate attention is needed.",Sanitation
"I want to report bad smell which is causing a lot of trouble. Specifically, the bad smell near the main square is getting worse. Emergency attention is needed.",Sanitation
"Please fix the traffic signal broken which is causing a lot of trouble. Specifically, the traffic signal broken near the main square is getting worse. Hazard attention is needed.",Roads
"I want to report low pressure this is a major safety risk. Specifically, the low pressure near the main square is getting worse. Danger attention is needed.",Water
"I want to report outbreak risk which is causing a lot of trouble. Specifically, the outbreak risk near the main square is getting worse. Fire attention is needed.",Health
"There is a street light out this is a major safety risk. Specifically, the street light out near the main square is getting worse. Fire attention is needed.",Roads
"Urgent notice regarding stray dog menace and it has been like this for days. Specifically, the stray dog menace near the main square is getting worse. Emergency attention is needed.",Health
"Please fix the garbage pile which is causing a lot of trouble. Specifically, the garbage pile near the main square is getting worse. Danger attention is needed.",Sanitation
"There is a overflowing bin which is causing a lot of trouble. Specifically, the overflowing bin near the main square is getting worse. Leak attention is needed.",Sanitation
"I want to report downed line the whole neighborhood is complaining. Specifically, the downed line near the main square is getting worse. Immediate attention is needed.",Electricity
"Please fix the bad smell and it has been like this for days. Specifically, the bad smell near the main square is getting worse. Leak attention is needed.",Sanitation
"I want to report sparking wire the whole neighborhood is complaining. Specifically, the sparking wire near the main square is getting worse. Urgent attention is needed.",Electricity
"I want to report low pressure this is a major safety risk. Specifically, the low pressure near the main square is getting worse. Life-threatening attention is needed.",Water
"Continuous issue with street light out the whole neighborhood is complaining. Specifically, the street light out near the main square is getting worse. Danger attention is needed.",Roads
"Urgent notice regarding street light out and it has been like this for days. Specifically, the street light out near the main square is getting worse. Emergency attention is needed.",Roads
"Please fix the dim lights which is causing a lot of trouble. Specifically, the dim lights near the main square is getting worse. Life-threatening attention is needed.",Electricity
"There is a stagnant water this is a major safety risk. Specifically, the stagnant water near the main square is getting worse. Urgent attention is needed.",Health
"Continuous issue with pipe burst the whole neighborhood is complaining. Specifically, the pipe burst near the main square is getting worse. Hazard attention is needed.",Water
"Continuous issue with pothole this is a major safety risk. Specifically, the pothole near the main square is getting worse. Fire attention is needed.",Roads
"Urgent notice regarding street light out and it has been like this for days. Specifically, the street light out near the main square is getting worse. Leak attention is needed.",Roads
"Urgent notice regarding pothole the whole neighborhood is complaining. Specifically, the pothole near the main square is getting worse. Immediate attention is needed.",Roads
"Urgent notice regarding uncollected waste the whole neighborhood is complaining. Specifically, the uncollected waste near the main square is getting worse. Fire attention is needed.",Sanitation
"Urgent notice regarding sewage leak the whole neighborhood is complaining. Specifically, the sewage leak near the main square is getting worse. Fire attention is needed.",Sanitation
"Please fix the uncollected waste and it has been like this for days. Specifically, the uncollected waste near the main square is getting worse. Fire attention is needed.",Sanitation
"Please fix the mosquito breeding which is causing a lot of trouble. Specifically, the mosquito breeding near the main square is getting worse. Life-threatening attention is needed.",Health
"Urgent notice regarding downed line which is causing a lot of trouble. Specifically, the downed line near the main square is getting worse. Hazard attention is needed.",Electricity
"There is a outbreak risk the whole neighborhood is complaining. Specifically, the outbreak risk near the main square is getting worse. Immediate attention is needed.",Health
"I want to report street light out which is causing a lot of trouble. Specifically, the street light out near the main square is getting worse. Leak attention is needed.",Roads
"I want to report leak which is causing a lot of trouble. Specifically, the leak near the main square is getting worse. Fire attention is needed.",Water
"Urgent notice regarding garbage pile the whole neighborhood is complaining. Specifically, the garbage pile near the main square is getting worse. Urgent attention is needed.",Sanitation
"There is a transformer failure the whole neighborhood is complaining. Specifically, the transformer failure near the main square is getting worse. Emergency attention is needed.",Electricity
"Continuous issue with outbreak risk the whole neighborhood is complaining. Specifically, the outbreak risk near the main square is getting worse. Leak attention is needed.",Health
"There is a downed line the whole neighborhood is complaining. Specifically, the downed line near the main square is getting worse. Hazard attention is needed.",Electricity
"I want to report overflowing bin the whole neighborhood is complaining. Specifically, the overflowing bin near the main square is getting worse. Hazard attention is needed.",Sanitation
"There is a dirty water the whole neighborhood is complaining. Specifically, the dirty water near the main square is getting worse. Hazard attention is needed.",Water
"Urgent notice regarding garbage pile this is a major safety risk. Specifically, the garbage pile near the main square is getting worse. Leak attention is needed.",Sanitation
"Continuous issue with outbreak risk and it has been like this for days. Specifically, the outbreak risk near the main square is getting worse. Urgent attention is needed.",Health
"Continuous issue with traffic signal broken which is causing a lot of trouble. Specifically, the traffic signal broken near the main square is getting worse. Immediate attention is needed.",Roads
"Please fix the cracked pavement this is a major safety risk. Specifically, the cracked pavement near the main square is getting worse. Danger attention is needed.",Roads
"I want to report stray dog menace the whole neighborhood is complaining. Specifically, the stray dog menace near the main square is getting worse. Emergency attention is needed.",Health
"Continuous issue with sparking wire and it has been like this for days. Specifically, the sparking wire near the main square is getting worse. Emergency attention is needed.",Electricity
"There is a stray dog menace which is causing a lot of trouble. Specifically, the stray dog menace near the main square is getting worse. Fire attention is needed.",Health
"Urgent notice regarding traffic signal broken this is a major safety risk. Specifically, the traffic signal broken near the main square is getting worse. Immediate attention is needed.",Roads
"I want to report mosquito breeding and it has been like this for days. Specifically, the mosquito breeding near the main square is getting worse. Urgent attention is needed.",Health
"Please fix the mosquito breeding which is causing a lot of trouble. Specifically, the mosquito breeding near the main square is getting worse. Leak attention is needed.",Health
"There is a dirty water the whole neighborhood is complaining. Specifically, the dirty water near the main square is getting worse. Immediate attention is needed.",Water
"Urgent notice regarding clinic closed and it has been like this for days. Specifically, the clinic closed near the main square is getting worse. Immediate attention is needed.",Health
"Continuous issue with mosquito breeding the whole neighborhood is complaining. Specifically, the mosquito breeding near the main square is getting worse. Danger attention is needed.",Health
"Please fix the cracked pavement the whole neighborhood is complaining. Specifically, the cracked pavement near the main square is getting worse. Danger attention is needed.",Roads
"Continuous issue with low pressure the whole neighborhood is complaining. Specifically, the low pressure near the main square is getting worse. Danger attention is needed.",Water
"Continuous issue with flooded road which is causing a lot of trouble. Specifically, the flooded road near the main square is getting worse. Life-threatening attention is needed.",Roads
"I want to report transformer failure the whole neighborhood is complaining. Specifically, the transformer failure near the main square is getting worse. Emergency attention is needed.",Electricity
"Continuous issue with leak and it has been like this for days. Specifically, the leak near the main square is getting worse. Immediate attention is needed.",Water
"Urgent notice regarding downed line which is causing a lot of trouble. Specifically, the downed line near the main square is getting worse. Danger attention is needed.",Electricity
"There is a cracked pavement the whole neighborhood is complaining. Specifically, the cracked pavement near the main square is getting worse. Danger attention is needed.",Roads
"I want to report cracked pavement which is causing a lot of trouble. Specifically, the cracked pavement near the main square is getting worse. Fire attention is needed.",Roads
"Please fix the garbage pile this is a major safety risk. Specifically, the garbage pile near the main square is getting worse. Hazard attention is needed.",Sanitation
"Please fix the flooded road and it has been like this for days. Specifically, the flooded road near the main square is getting worse. Hazard attention is needed.",Roads
"There is a mosquito breeding the whole neighborhood is complaining. Specifically, the mosquito breeding near the main square is getting worse. Immediate attention is needed.",Health
"Urgent notice regarding bad smell and it has been like this for days. Specifically, the bad smell near the main square is getting worse. Danger attention is needed.",Sanitation
"Urgent notice regarding street light out which is causing a lot of trouble. Specifically, the street light out near the main square is getting worse. Immediate attention is needed.",Roads
"Urgent notice regarding uncollected waste the whole neighborhood is complaining. Specifically, the uncollected waste near the main square is getting worse. Emergency attention is needed.",Sanitation
"I want to report uncollected waste which is causing a lot of trouble. Specifically, the uncollected waste near the main square is getting worse. Hazard attention is needed.",Sanitation
"Urgent notice regarding bad smell this is a major safety risk. Specifically, the bad smell near the main square is getting worse. Urgent attention is needed.",Sanitation
"There is a mosquito breeding which is causing a lot of trouble. Specifically, the mosquito breeding near the main square is getting worse. Life-threatening attention is needed.",Health
"There is a traffic signal broken the whole neighborhood is complaining. Specifically, the traffic signal broken near the main square is getting worse. Hazard attention is needed.",Roads
"There is a dim lights the whole neighborhood is complaining. Specifically, the dim lights near the main square is getting worse. Hazard attention is needed.",Electricity
"There is a dim lights and it has been like this for days. Specifically, the dim lights near the main square is getting worse. Immediate attention is needed.",Electricity
"Continuous issue with mosquito breeding this is a major safety risk. Specifically, the mosquito breeding near the main square is getting worse. Danger attention is needed.",Health
"Continuous issue with mosquito breeding which is causing a lot of trouble. Specifically, the mosquito breeding near the main square is getting worse. Leak attention is needed.",Health
"I want to report stagnant water which is causing a lot of trouble. Specifically, the stagnant water near the main square is getting worse. Immediate attention is needed.",Health
"There is a street light out and it has been like this for days. Specifically, the street light out near the main square is getting worse. Hazard attention is needed.",Roads
"I want to report sewage leak the whole neighborhood is complaining. Specifically, the sewage leak near the main square is getting worse. Leak attention is needed.",Sanitation
"Urgent notice regarding flooded road this is a major safety risk. Specifically, the flooded road near the main square is getting worse. Danger attention is needed.",Roads
"Continuous issue with overflowing bin and it has been like this for days. Specifically, the overflowing bin near the main square is getting worse. Fire attention is needed.",Sanitation
"Continuous issue with transformer failure and it has been like this for days. Specifically, the transformer failure near the main square is getting worse. Emergency attention is needed.",Electricity
"Continuous issue with uncollected waste which is causing a lot of trouble. Specifically, the uncollected waste near the main square is getting worse. Immediate attention is needed.",Sanitation
"Please fix the leak and it has been like this for days. Specifically, the leak near the main square is getting worse. Danger attention is needed.",Water
"Continuous issue with downed line this is a major safety risk. Specifically, the downed line near the main square is getting worse. Danger attention is needed.",Electricity
"Continuous issue with overflowing bin which is causing a lot of trouble. Specifically, the overflowing bin near the main square is getting worse. Danger attention is needed.",Sanitation
"Please fix the sewage leak this is a major safety risk. Specifically, the sewage leak near the main square is getting worse. Leak attention is needed.",Sanitation
"I want to report stray dog menace the whole neighborhood is complaining. Specifically, the stray dog menace near the main square is getting worse. Immediate attention is needed.",Health
"Please fix the street light out the whole neighborhood is complaining. Specifically, the street light out near the main square is getting worse. Fire attention is needed.",Roads
"Please fix the mosquito breeding and it has been like this for days. Specifically, the mosquito breeding near the main square is getting worse. Immediate attention is needed.",Health
"I want to report stray dog menace this is a major safety risk. Specifically, the stray dog menace near the main square is getting worse. Fire attention is needed.",Health
"I want to report contaminated the whole neighborhood is complaining. Specifically, the contaminated near the main square is getting worse. Hazard attention is needed.",Water
"I want to report low pressure this is a major safety risk. Specifically, the low pressure near the main square is getting worse. Immediate attention is needed.",Water
"Urgent notice regarding traffic signal broken which is causing a lot of trouble. Specifically, the traffic signal broken near the main square is getting worse. Urgent attention is needed.",Roads
"Please fix the garbage pile the whole neighborhood is complaining. Specifically, the garbage pile near the main square is getting worse. Leak attention is needed.",Sanitation
"Urgent notice regarding contaminated which is causing a lot of trouble. Specifically, the contaminated near the main square is getting worse. Immediate attention is needed.",Water
"There is a bad smell and it has been like this for days. Specifically, the bad smell near the main square is getting worse. Hazard attention is needed.",Sanitation
"Continuous issue with pipe burst and it has been like this for days. Specifically, the pipe burst near the main square is getting worse. Immediate attention is needed.",Water
"Continuous issue with flooded road which is causing a lot of trouble. Specifically, the flooded road near the main square is getting worse. Danger attention is needed.",Roads
"Please fix the dim lights which is causing a lot of trouble. Specifically, the dim lights near the main square is getting worse. Leak attention is needed.",Electricity
"Continuous issue with flooded road which is causing a lot of trouble. Specifically, the flooded road near the main square is getting worse. Immediate attention is needed.",Roads
"Please fix the no supply this is a major safety risk. Specifically, the no supply near the main square is getting worse. Emergency attention is needed.",Water
"Urgent notice regarding sewage leak and it has been like this for days. Specifically, the sewage leak near the main square is getting worse. Leak attention is needed.",Sanitation
"Continuous issue with pothole the whole neighborhood is complaining. Specifically, the pothole near the main square is getting worse. Emergency attention is needed.",Roads
"There is a traffic signal broken this is a major safety risk. Specifically, the traffic signal broken near the main square is getting worse. Fire attention is needed.",Roads
"Urgent notice regarding bad smell which is causing a lot of trouble. Specifically, the bad smell near the main square is getting worse. Life-threatening attention is needed.",Sanitation
"Urgent notice regarding street light out this is a major safety risk. Specifically, the street light out near the main square is getting worse. Leak attention is needed.",Roads
"Please fix the cracked pavement which is causing a lot of trouble. Specifically, the cracked pavement near the main square is getting worse. Danger attention is needed.",Roads
"Urgent notice regarding bad smell the whole neighborhood is complaining. Specifically, the bad smell near the main square is getting worse. Leak attention is needed.",Sanitation
"I want to report outbreak risk the whole neighborhood is complaining. Specifically, the outbreak risk near the main square is getting worse. Hazard attention is needed.",Health
"Continuous issue with pothole and it has been like this for days. Specifically, the pothole near the main square is getting worse. Leak attention is needed.",Roads
"Continuous issue with power cut this is a major safety risk. Specifically, the power cut near the main square is getting worse. Leak attention is needed.",Electricity
"I want to report no supply which is causing a lot of trouble. Specifically, the no supply near the main square is getting worse. Fire attention is needed.",Water
"There is a stagnant water and it has been like this for days. Specifically, the stagnant water near the main square is getting worse. Hazard attention is needed.",Health
"Continuous issue with outbreak risk this is a major safety risk. Specifically, the outbreak risk near the main square is getting worse. Immediate attention is needed.",Health
"Please fix the pothole this is a major safety risk. Specifically, the pothole near the main square is getting worse. Immediate attention is needed.",Roads
"Urgent notice regarding flooded road the whole neighborhood is complaining. Specifically, the flooded road near the main square is getting worse. Emergency attention is needed.",Roads
"There is a no supply this is a major safety risk. Specifically, the no supply near the main square is getting worse. Fire attention is needed.",Water
"There is a dirty water which is causing a lot of trouble. Specifically, the dirty water near the main square is getting worse. Hazard attention is needed.",Water
"There is a no supply this is a major safety risk. Specifically, the no supply near the main square is getting worse. Hazard attention is needed.",Water
"Urgent notice regarding garbage pile and it has been like this for days. Specifically, the garbage pile near the main square is getting worse. Hazard attention is needed.",Sanitation
"There is a dim lights the whole neighborhood is complaining. Specifically, the dim lights near the main square is getting worse. Life-threatening attention is needed.",Electricity
"There is a pipe burst the whole neighborhood is complaining. Specifically, the pipe burst near the main square is getting worse. Immediate attention is needed.",Water
"Continuous issue with cracked pavement and it has been like this for days. Specifically, the cracked pavement near the main square is getting worse. Danger attention is needed.",Roads
"There is a cracked pavement which is causing a lot of trouble. Specifically, the cracked pavement near the main square is getting worse. Immediate attention is needed.",Roads
"Please fix the dirty water which is causing a lot of trouble. Specifically, the dirty water near the main square is getting worse. Immediate attention is needed.",Water
"Continuous issue with dirty water which is causing a lot of trouble. Specifically, the dirty water near the main square is getting worse. Leak attention is needed.",Water
"There is a traffic signal broken this is a major safety risk. Specifically, the traffic signal broken near the main square is getting worse. Danger attention is needed.",Roads
There is a garbage pile,Sanitation
"I want to report mosquito breeding which is causing a lot of trouble. Specifically, the mosquito breeding near the main square is getting worse. Danger attention is needed.",Health
"Please fix the bad smell the whole neighborhood is complaining. Specifically, the bad smell near the main square is getting worse. Life-threatening attention is needed.",Sanitation
"There is a no supply which is causing a lot of trouble. Specifically, the no supply near the main square is getting worse. Immediate attention is needed.",Water
"There is a clinic closed the whole neighborhood is complaining. Specifically, the clinic closed near the main square is getting worse. Urgent attention is needed.",Health
"I want to report uncollected waste and it has been like this for days. Specifically, the uncollected waste near the main square is getting worse. Immediate attention is needed.",Sanitation
"There is a garbage pile which is causing a lot of trouble. Specifically, the garbage pile near the main square is getting worse. Danger attention is needed.",Sanitation
"Continuous issue with contaminated and it has been like this for days. Specifically, the contaminated near the main square is getting worse. Immediate attention is needed.",Water
"Continuous issue with sparking wire the whole neighborhood is complaining. Specifically, the sparking wire near the main square is getting worse. Fire attention is needed.",Electricity
"Please fix the pipe burst which is causing a lot of trouble. Specifically, the pipe burst near the main square is getting worse. Immediate attention is needed.",Water
"I want to report overflowing bin this is a major safety risk. Specifically, the overflowing bin near the main square is getting worse. Leak attention is needed.",Sanitation
"Urgent notice regarding downed line which is causing a lot of trouble. Specifically, the downed line near the main square is getting worse. Fire attention is needed.",Electricity
"I want to report bad smell and it has been like this for days. Specifically, the bad smell near the main square is getting worse. Emergency attention is needed.",Sanitation
"Urgent notice regarding sparking wire the whole neighborhood is complaining. Specifically, the sparking wire near the main square is getting worse. Emergency attention is needed.",Electricity
"Urgent notice regarding clinic closed this is a major safety risk. Specifically, the clinic closed near the main square is getting worse. Leak attention is needed.",Health
"There is a flooded road this is a major safety risk. Specifically, the flooded road near the main square is getting worse. Fire attention is needed.",Roads
"I want to report overflowing bin and it has been like this for days. Specifically, the overflowing bin near the main square is getting worse. Immediate attention is needed.",Sanitation
"Please fix the mosquito breeding the whole neighborhood is complaining. Specifically, the mosquito breeding near the main square is getting worse. Hazard attention is needed.",Health
"Please fix the stagnant water the whole neighborhood is complaining. Specifically, the stagnant water near the main square is getting worse. Hazard attention is needed.",Health
"Please fix the overflowing bin and it has been like this for days. Specifically, the overflowing bin near the main square is getting worse. Leak attention is needed.",Sanitation
"Urgent notice regarding leak which is causing a lot of trouble. Specifically, the leak near the main square is getting worse. Life-threatening attention is needed.",Water
"I want to report low pressure and it has been like this for days. Specifically, the low pressure near the main square is getting worse. Emergency attention is needed.",Water
"Continuous issue with power cut and it has been like this for days. Specifically, the power cut near the main square is getting worse. Leak attention is needed.",Electricity
"Please fix the traffic signal broken this is a major safety risk. Specifically, the traffic signal broken near the main square is getting worse. Hazard attention is needed.",Roads
"Please fix the contaminated the whole neighborhood is complaining. Specifically, the contaminated near the main square is getting worse. Danger attention is needed.",Water
"Continuous issue with mosquito breeding this is a major safety risk. Specifically, the mosquito breeding near the main square is getting worse. Urgent attention is needed.",Health
"Continuous issue with low pressure this is a major safety risk. Specifically, the low pressure near the main square is getting worse. Danger attention is needed.",Water
"Urgent notice regarding downed line and it has been like this for days. Specifically, the downed line near the main square is getting worse. Hazard attention is needed.",Electricity
"Please fix the power cut and it has been like this for days. Specifically, the power cut near the main square is getting worse. Danger attention is needed.",Electricity
